Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome composition,Host Source
5082,3,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Potato yellow mosaic virus,A,potato yellow mosaic virus,PYMV/To,Puerto Rico/Tomato/2004/Tomato,DNA-A: AY965897,Complete genome,ssDNA,plants
5083,4,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Potato yellow mosaic virus,A,potato yellow mosaic virus,PYMV/Co,Colombia/Valle del Cauca/Tomato/2007/Colombia,DNA-A: EU518935,Complete genome,ssDNA,plants
5084,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Pouzolzia golden mosaic virus,E,Pouzolzia golden mosaic virus,PouGMV,China/TY01/2012,DNA-A: JX183732,Complete genome,ssDNA,plants
5085,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Pouzolzia mosaic Guangdong virus,E,Pouzolzia mosaic Guangdong virus,PouMGDV,Taiwan/Miaoli/ML13W1/2013,DNA-A: KF414123,Complete genome,ssDNA,plants
5086,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Pouzolzia yellow mosaic virus,E,Pouzolzia yellow mosaic virus,PouYMV,TW-ML13W1-13,KF927128,Complete genome,ssDNA,plants
5087,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Premna leaf curl virus,E,Premna leaf curl virus,PreLCV,Vietnam/VN7/2011,DNA-A: JQ793786,Complete genome,ssDNA,plants
5088,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Pumpkin yellow mosaic virus,E,pumpkin yellow mosaic virus,PuYMV,Malaysia/Negeri Sambilan/2001,DNA-A: EF197941,Complete genome,ssDNA,plants
5089,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Ramie mosaic Yunnan virus,E,ramie mosaic Yunnan virus,RMYnV,China-4819_5-2015,DNA-A: KU522485,Complete genome,ssDNA,plants
5090,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rhynchosia golden mosaic Havana virus,E,Rhynchosia golden mosaic Havana virus,RhGMHaV,Cuba/Havana/2007,DNA-A: HM236368; DNA-B: HM236369,Complete genome,ssDNA,plants
5091,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rhynchosia golden mosaic Sinaloa virus,E,Rhynchosia golden mosaic Sinaloa virus,CabLCV,Mexico/Sinaloa/2005,DNA-A: DQ406672; DNA-B: DQ406673,Complete genome,ssDNA,plants
5092,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rhynchosia golden mosaic virus,E,Rhynchosia golden mosaic virus,RhGMV/MX,Mexico/Sinaloa/2005/Mexico,DNA-A: DQ347950; DNA-B: EU339937,Complete genome,ssDNA,plants
5093,2,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rhynchosia golden mosaic virus,A,Rhynchosia golden mosaic virus,RhGMV/Tob,Mexico/Chiapas/Tobacco/Tobacco,DNA-A: AF408199,Partial genome,ssDNA,plants
5094,3,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rhynchosia golden mosaic virus,A,Rhynchosia golden mosaic virus,RhGMV/Sb,Mexico/Sinaloa 4/Soybean/2007/Soybean,DNA-A: EU339936; DNA-B: DQ356429,Complete genome,ssDNA,plants
5095,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rhynchosia mild mosaic virus,E,Rhynchosia mild mosaic virus,RhMMV,Puerto Rico/PR79/1997,DNA-A: FJ944019; DNA-B: FJ944020,Complete genome,ssDNA,plants
5096,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rhynchosia rugose golden mosaic virus,E,Rhynchosia rugose golden mosaic virus,RhRGMV,Cuba/Camaguey/2009,DNA-A: HM236370; DNA-B: HM236371,Complete genome,ssDNA,plants
5097,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rhynchosia yellow mosaic India virus,E,Rhynchosia yellow mosaic India virus,RhYMIV,India/Thiruvananthapuram/JRH1/2009,DNA-A: HM777508; DNA-B: HM777510,Complete genome,ssDNA,plants
5098,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rhynchosia yellow mosaic virus,E,Rhynchosia yellow mosaic virus,RhYMV,Pakistan/Lahore33/2007,DNA-A: AM999981; DNA-B: AM999982,Complete genome,ssDNA,plants
5099,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Rose leaf curl virus,E,rose leaf curl virus,RoLCuV,India/Rajasthan/Sikar AS24/2014,KJ739692,Complete genome,ssDNA,plants
5100,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sauropus leaf curl virus,E,Sauropus leaf curl virus,SauLCuV,Thailand/Kamphaengsaen/AFSP5e/2010,DNA-A: JN809819,Complete genome,ssDNA,plants
5101,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Senecio yellow mosaic virus,E,Senecio yellow mosaic virus,SeYMV,China/Guangxi 46/2003,AJ876550,Complete genome,ssDNA,plants
5102,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Senna leaf curl virus,E,Senna leaf curl virus,SenLCuV,India-Mohali-2013,KU852742,Complete genome,ssDNA,plants
5103,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida angular mosaic virus,E,Sida angular mosaic virus,SiAMV,Brazil-ALS30_4C-2014,DNA-A: KX691407; DNA-B: KX691415,Complete genome,ssDNA,plants
5104,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida bright yellow mosaic virus,E,Sida bright yellow mosaic virus,SiBYMV,Brazil-Tac720-2010,DNA-A: KX348184; DNA-B: KX348225,Complete genome,ssDNA,plants
5105,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida chlorotic leaf virus,E,Sida chlorotic leaf virus,SiChLV,MX-Colima-18,DNA-A: MN013784; DNA-B: MN013785,Complete genome,ssDNA(+),plants
5106,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida chlorotic mottle virus,E,Sida chlorotic mottle virus,SiCMoV,Brazil-Trm531.1-2010,DNA-A: KX348183,Complete genome,ssDNA,plants
5107,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida chlorotic vein virus,E,Sida chlorotic vein virus,SiCVV,Brazil-BALS15_2C-2008,DNA-A: KX691402; DNA-B: KX691413,Complete genome,ssDNA,plants
5108,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida ciliaris golden mosaic virus,E,Sida ciliaris golden mosaic virus,SicGMV,Venezuela/Lara/M3/2009,DNA-A: JX857691; DNA-B: JX857692,Complete genome,ssDNA,plants
5109,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida common mosaic virus,E,Sida common mosaic virus,SiCMV,Brazil/Coimbra 4/2007,EU710751,Complete genome,ssDNA,plants
5110,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden mosaic Braco virus,E,Sida golden mosaic Braco virus,SiGMBcV,Jamaica/Liguanea/A4/2008,JX162595,Complete genome,ssDNA,plants
5111,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden mosaic Brazil virus,E,Sida golden mosaic Brazil virus,SiGMBRV,Brazil/Mato Grosso do Sul/2007,DNA-A: FN436001,Complete genome,ssDNA,plants
5112,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden mosaic Buckup virus,E,Sida golden mosaic Buckup virus,SiGMBuV,Jamaica/St Elizabeth 1/2004,DNA-A: HQ008338; DNA-B: HQ009518,Complete genome,ssDNA,plants
5113,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden mosaic Costa Rica virus,E,Sida golden mosaic Costa Rica virus,SiGMCRV,Costa Rica,DNA-A: X99550; DNA-B: X99551,Complete genome,ssDNA,plants
5114,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden mosaic Florida virus,E,Sida golden mosaic Florida virus,SiGMFlV/Malv,Cuba/Havana/Malvastrum/111/2009/Florida,DNA-A: HM003779; DNA-B: HM003778,Complete genome,ssDNA,plants
5115,2,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden mosaic Florida virus,A,Sida golden mosaic Florida virus,SiGMFlV,United States/Homestead/A1,U77963,Complete genome,ssDNA,plants
5116,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden mosaic Lara virus,E,Sida golden mosaic Lara virus,SiGMLaV,Venezuela/Lara/M1/2009,DNA-A: JX857693,Complete genome,ssDNA,plants
5117,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden mosaic virus,E,Sida golden mosaic virus,SiGMV,United States/Florida,DNA-A: AF049336; DNA-B: AF039841,Complete genome,ssDNA,plants
5118,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden mottle virus,E,Sida golden mottle virus,SiGMoV,United States/Florida/Bradenton/1997,DNA-A: GU997691; DNA-B: GU997692,Complete genome,ssDNA,plants
5119,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden yellow spot virus,E,Sida golden yellow spot virus,SiGYSV,Brazil-Sab889-2010,KX348185,Complete genome,ssDNA,plants
5120,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida golden yellow vein virus,E,Sida golden yellow vein virus,SiGYVV,United States/Homestead/A11,U77964,Complete genome,ssDNA,plants
5121,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida interveinal bright yellow virus,E,Sida interveinal bright yellow virus,SiIBYV,MX- Conca 1-18,DNA-A: MN746033; DNA-B: MN419243,Complete genome,ssDNA(+),plants
5122,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida leaf curl virus,E,Sida leaf curl virus,SiLCuV,China/Hainan 57/2004,AM050730,Complete genome,ssDNA,plants
5123,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida micrantha mosaic virus,E,Sida micrantha mosaic virus,SiMMV,Brazil/A2B2,DNA-A: AJ557451; DNA-B: AJ557453,Complete genome,ssDNA,plants
5124,2,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida micrantha mosaic virus,A,Sida micrantha mosaic virus,SiMMV/Rho,Bolivia/Cerro Fraile 2/2007/Rhombifolia,DNA-A: HM585439,Complete genome,ssDNA,plants
5125,3,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida micrantha mosaic virus,A,Sida micrantha mosaic virus,SiMMV/San,BR/GO/Luziania 780/2003/Santaremensi,DNA-A: JX415187,Complete genome,ssDNA,plants
5126,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida mosaic Alagoas virus,E,Sida mosaic Alagoas virus,SiMALV,Brazil/BgV02A1C59,DNA-A: JF694471; DNA-B: JF694473,Complete genome,ssDNA,plants
5127,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida mosaic Bolivia virus 1,E,Sida mosaic Bolivia virus 1,SiMBoV1,Bolivia/Sida micrantha/2007,DNA-A: HM585441; DNA-B: HM585442,Complete genome,ssDNA,plants
5128,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida mosaic Bolivia virus 2,E,Sida mosaic Bolivia virus 2,SiMBoV2,Bolivia/Sida micrantha/2007,DNA-A: HM585443; DNA-B: HM585444,Complete genome,ssDNA,plants
5129,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida mosaic Sinaloa virus,E,Sida mosaic Sinaloa virus,SiMSiV,Mexico/Guasave/2006,DNA-A: DQ520944; DNA-B: DQ356428,Complete genome,ssDNA,plants
5130,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida mottle Alagoas virus,E,Sida mottle Alagoas virus,SiMoAV,BR/Alagoas/Vicosa 2/2010,DNA-A: JX871385,Complete genome,ssDNA,plants
5131,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida mottle virus,E,Sida mottle virus,SiMoV/Mic,Brazil/A1B3/Micrantha,DNA-A: AJ557450; DNA-B: AJ557454,Complete genome,ssDNA,plants
5132,2,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida mottle virus,A,Sida mottle virus,SiMoV/Rho,Brazil/Vicosa 1/1999/Rhombifolia,DNA-A: AY090555,Complete genome,ssDNA,plants
5133,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow blotch virus,E,Sida yellow blotch virus,SiYBV,Brazil/Rio Largo 1/2010,DNA-A: JX871380,Complete genome,ssDNA,plants
5134,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow golden mosaic virus,E,Sida yellow golden mosaic virus,SiYGMV,BR-SPI15-15,DNA-A: MF163258; ADN-B: MF163259,Complete genome,ssDNA(+),plants
5135,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow leaf curl virus,E,Sida yellow leaf curl virus,SiYLCV,Brazil/Coimbra3/2007,DNA-A: EU710750,Complete genome,ssDNA,plants
5136,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow mosaic Alagoas virus,E,Sida yellow mosaic Alagoas virus,SiYMAV,Brazil/Alagoas/Vicosa 3/2010,DNA-A: JX871383,Complete genome,ssDNA,plants
5137,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow mosaic China virus,E,Sida yellow mosaic China virus,SiYMCNV,China/Hainan 7/Ageratum/2003,AM048837,Complete genome,ssDNA,plants
5138,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow mosaic virus,E,Sida yellow mosaic virus,SiYMV,Brazil/Vicosa 2/1999,DNA-A: AY090558,Complete genome,ssDNA,plants
5139,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow mosaic Yucatan virus,E,Sida yellow mosaic Yucatan virus,SiYMYuV,Mexico/Yucatan/2005,DNA-A: DQ875872; DNA-B: DQ875873,Complete genome,ssDNA,plants
5140,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow mottle virus,E,Sida yellow mottle virus,SiYMoV,Cuba/Sancti Spiritus159/1/2009,DNA-A: JN411687; DNA-B: JN411688,Complete genome,ssDNA,plants
5141,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow net virus,E,Sida yellow net virus,SiYNV,Brazil/Vicosa2/2010,DNA-A: JX871376,Complete genome,ssDNA,plants
5142,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow vein Vietnam virus,E,Sida yellow vein Vietnam virus,SiYVVV,Vietnam/Hanoi/2005,DNA-A: DQ641696,Complete genome,ssDNA,plants
5143,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sida yellow vein virus,E,Sida yellow vein virus,SiYVV,Honduras/yellow vein,DNA-A: Y11099; DNA-B: Y11100,Complete genome,ssDNA,plants
5144,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sidastrum golden leaf spot virus,E,Sidastrum golden leaf spot virus,SidGLSV,Brazil/DF334/2010,DNA-A: HM357458,Complete genome,ssDNA,plants
5145,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Siegesbeckia yellow vein Guangxi virus,E,Siegesbeckia yellow vein Guangxi virus,SgYVGxV,China/Guangxi 111/2005,AM238692,Complete genome,ssDNA,plants
5146,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Siegesbeckia yellow vein virus,E,Siegesbeckia yellow vein virus,SgYVV,China/Guangdong 13/2004,AM183224,Complete genome,ssDNA,plants
5147,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Solanum mosaic Bolivia virus,E,Solanum mosaic Bolivia virus,SoMBoV,Bolivia-2007,DNA-A: HM585435; DNA-B: HM585436,Complete genome,ssDNA,plants
5148,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,South African cassava mosaic virus,E,South African cassava mosaic virus,SACMV,South Africa,DNA-A: AF155806; DNA-B: AF155807,Complete genome,ssDNA,plants
5149,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Soybean blistering mosaic virus,E,soybean blistering mosaic virus,SbBMV,Argentina/NOA/2005,DNA-A: EF016486,Complete genome,ssDNA,plants
5150,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Soybean chlorotic blotch virus,E,soybean chlorotic blotch virus,SbCBV,Nigeria/Soybean 19/2007,DNA-A: GQ472985; DNA-B: GQ472986,Complete genome,ssDNA,plants
5151,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Soybean mild mottle virus,E,soybean mild mottle virus,SbMMoV,Nigeria/Soybean 17/2007,GQ472984,Complete genome,ssDNA,plants
5152,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Spilanthes yellow vein virus,E,Spilanthes yellow vein virus,SpYVV,Vietnam/Dalat/2005,DNA-A: DQ641694,Complete genome,ssDNA,plants
5153,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Spinach yellow vein virus,E,spinach yellow vein virus,SpiYVV,India/Sikar/AS22,KF660223,Complete genome,ssDNA,plants
5154,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Squash leaf curl China virus,E,squash leaf curl China virus,SLCCNV/CN,Vietnam/B/China,DNA-A: AF509743; DNA-B: AF509742,Complete genome,ssDNA,plants
5155,2,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Squash leaf curl China virus,A,squash leaf curl China virus,SLCCNV,Philippines/Benguet/P54,DNA-A: EU487031,Complete genome,ssDNA,plants
5156,3,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Squash leaf curl China virus,A,squash leaf curl China virus,SLCCNV/IN,Pakistan/Lahore/2004/India,AM286794,Complete genome,ssDNA,plants
5157,4,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Squash leaf curl China virus,A,squash leaf curl China virus,SLCCNV/TH,Thailand/Nakhon Pathom/Wax Gourd/2007/Thailand,DNA-A: EU543562,Complete genome,ssDNA,plants
5158,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Squash leaf curl Philippines virus,E,squash leaf curl Philippines virus,SLCuPV,Philippines/Munoz,DNA-A: AB085793; DNA-B: AB085794,Complete genome,ssDNA,plants
5159,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Squash leaf curl virus,E,squash leaf curl virus,SLCuV,United States/Imperial Valley/1979,DNA-A: M38183; DNA-B: M38182,Complete genome,ssDNA,plants
5160,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Squash leaf curl Yunnan virus,E,squash leaf curl Yunnan virus,SLCuYV,China/Yunnan/Y23,AJ420319,Complete genome,ssDNA,plants
5161,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Squash mild leaf curl virus,E,squash mild leaf curl virus,SMLCuV,United States/Imperial Valley/1979,DNA-A: AF421552; DNA-B: AF421553,Complete genome,ssDNA,plants
5162,1,Monodnaviria,NA,Shotokuvirae,NA,Cressdnaviricota,NA,Repensiviricetes,NA,Geplafuvirales,NA,Geminiviridae,NA,Begomovirus,NA,Sri Lankan cassava mosaic virus,E,Sri Lankan cassava mosaic virus,SLCMV/LK,Sri Lanka/Colombo/1998/Sri Lanka,DNA-A: AJ314737; DNA-B: AJ314738,Complete genome,ssDNA,plants
